id,epic,title,persona,acao,beneficio,criterio,priority,points
US-101,E1,Criar conta de empresa (tenant),gestora,criar uma conta de empresa (tenant),minha equipe tenha um espaço isolado,"Dado um e-mail corporativo válido, quando cadastro a empresa, então um tenant isolado é criado com schema/linha própria",must,5
US-102,E1,Login com isolamento de tenant,atendente,fazer login com e-mail e senha,acessar apenas os dados do meu tenant,"Dado um login válido, então recebo um JWT escopado ao tenant_id; tentar acessar dado de outro tenant retorna 403",must,3
US-103,E1,Convite de atendentes com papéis,gestora,convidar atendentes por e-mail com papéis definidos (admin/atendente),controlar permissões,"Dado um convite enviado, quando o atendente aceita, então ele recebe o papel definido e RBAC é aplicado em todas as rotas",must,5
US-104,E1,Recuperação de senha,usuária,recuperar minha senha com segurança,não perder acesso à conta,Token de reset expira em 15 min e é de uso único,should,2
US-105,E1,Login social (OAuth2),gestora,habilitar login social (OAuth2),reduzir fricção de onboarding,Login via Google funciona e vincula ao tenant correto,could,5
US-201,E2,Abertura de ticket,cliente final,abrir um ticket descrevendo meu problema,receber ajuda,Ticket criado com status novo e associado ao tenant correto,must,3
US-202,E2,Fila de tickets em tempo real,atendente,ver a fila de tickets em tempo real,priorizar atendimentos,Novo ticket aparece no painel via WebSocket sem reload,must,5
US-203,E2,Resposta em tempo real,atendente,responder um ticket e ver a resposta refletida instantaneamente,o cliente receba rápido,Latência de entrega da mensagem menor que 1s em condição normal,must,5
US-204,E2,SLA por prioridade,gestora,definir SLAs por prioridade,garantir tempo de resposta,Ticket vencido muda visualmente de status e gera alerta,should,5
US-205,E2,Histórico do cliente,atendente,ver o histórico completo do cliente,dar contexto à resposta,Histórico carrega em uma única consulta sem N+1,should,3
US-301,E3,Resposta automática via RAG,cliente final,receber resposta automática quando minha dúvida já está documentada,não esperar um humano,IA responde em menos de 5s usando artigos da base com similaridade acima do limiar,must,13
US-302,E3,Escalonamento por baixa confiança,gestora,que o agente escale para humano quando não tiver confiança,evitar respostas erradas,Score de confiança abaixo do limiar dispara escalonamento automático com justificativa registrada,must,8
US-303,E3,Resumo de contexto no escalonamento,atendente,ver o raciocínio resumido do agente antes de assumir um ticket escalado,não perder contexto,Painel mostra resumo gerado pelo agente sobre o que já foi tentado e por que escalou,should,5
US-304,E3,Métricas de auto-resolução,gestora,ver métricas de quantos tickets a IA resolveu sozinha,medir ROI,Dashboard mostra percentual de auto-resolução por período,should,3
US-305,E3,Escalonamento sob demanda,cliente final,poder pedir explicitamente para falar com um humano,resolver casos sensíveis,Comando do usuário força escalonamento independentemente do score,must,2
